
多 大 ||| 规格,NULL
晒后 修复 ||| 彩妆功效,晒后修复
晒后 护理 ||| 彩妆功效,晒后修复
晒后 保养 ||| 彩妆功效,晒后修复
皮肤 修复 ||| 彩妆功效,晒后修复
舒缓 肌肤 ||| 彩妆功效,舒缓肌肤
舒缓 皮肤 ||| 彩妆功效,舒缓肌肤
疲惫 皮肤 ||| 彩妆功效,舒缓肌肤
疲惫 肌肤 ||| 彩妆功效,舒缓肌肤
清洁 毛孔 ||| 彩妆功效,清洁毛孔
堵塞 毛孔 ||| 彩妆功效,清洁毛孔
毛孔 脏 ||| 彩妆功效,清洁毛孔
平衡 油脂 ||| 彩妆功效,平衡油脂
水油平衡 ||| 彩妆功效,平衡油脂
控油 ||| 彩妆功效,平衡油脂
深层 清洁 ||| 彩妆功效,深层清洁
深度 清洁 ||| 彩妆功效,深层清洁
深度清洁 ||| 彩妆功效,深层清洁
损伤 修复 ||| 彩妆功效,损伤修复
皮肤 受损 ||| 彩妆功效,损伤修复
受损 修复 ||| 彩妆功效,损伤修复
抗 衰老 ||| 彩妆功效,抗衰老
衰老 快 ||| 彩妆功效,抗衰老
减缓 衰老 ||| 彩妆功效,抗衰老
抗 皱 ||| 彩妆功效,抗衰老
皱纹 多 ||| 彩妆功效,抗衰老
维持 时间 久 ||| 彩妆功效,持久
持久型 ||| 彩妆功效,持久
遮盖 ||| 彩妆功效,遮瑕
斑点 多 ||| 彩妆功效,遮瑕
遮 痘印 ||| 彩妆功效,遮瑕
防晒伤 ||| 彩妆功效,防晒
防晒黑 ||| 彩妆功效,防晒
隔离 紫外线 ||| 彩妆功效,隔离
紫外线 强 ||| 彩妆功效,隔离
化妆 工具 ||| 彩妆功效,化妆工具
化妆 常用 工具 ||| 彩妆功效,化妆工具
化妆 需要 什么 工具 ||| 彩妆功效,化妆工具
美妆 工具 ||| 彩妆功效,化妆工具
化妆 工具 套装 ||| 彩妆功效,化妆工具
化妆 工具 全套 ||| 彩妆功效,化妆工具
美妆 工具 套装 ||| 彩妆功效,化妆工具
缩小 毛孔 ||| 彩妆功效,缩毛孔
收缩 毛孔 ||| 彩妆功效,缩毛孔
减小 毛孔 ||| 彩妆功效,缩毛孔
毛孔 粗大 ||| 彩妆功效,缩毛孔
祛黑头 ||| 彩妆功效,去黑头
清除 黑头 ||| 彩妆功效,去黑头
黑头 多 ||| 彩妆功效,去黑头
去斑 ||| 彩妆功效,祛斑
斑点 多 ||| 彩妆功效,祛斑
脸上 多 色斑 ||| 彩妆功效,祛斑
修饰 肤色 ||| 彩妆功效,修饰肤色
肤色 深浅 不一 ||| 彩妆功效,修饰肤色
肤色 各处 不一样 ||| 彩妆功效,修饰肤色
什么 妆效 ||| 彩妆妆效，NULL

持妆 时间 长||| 彩妆功效, 持久
持久 ||| 彩妆功效, 持久
不脱色 ||| 彩妆功效, 持久
不易脱色 ||| 彩妆功效, 持久
不容易脱色 ||| 彩妆功效, 持久
不易脱妆 ||| 彩妆功效, 持久
不容易脱妆 ||| 彩妆功效, 持久
不脱妆 ||| 彩妆功效, 持久

冷色系 ||| 颜色,冷色系
暖色系 ||| 颜色,暖色系
美白 ||| 彩妆功效,美白
遮毛孔 ||| 彩妆功效,遮毛孔
滋润 ||| 彩妆功效,滋润
提亮肤色 ||| 彩妆功效,提亮肤色
祛角质 ||| 彩妆功效,祛角质
保湿 ||| 彩妆功效,保湿
补水 ||| 彩妆功效,补水
控油 ||| 彩妆功效,控油
祛痘 ||| 彩妆功效,祛痘
抗皱 ||| 彩妆功效,抗皱
提拉紧致 ||| 彩妆功效,提拉紧致
抗敏感 ||| 彩妆功效,抗敏感
活肤 ||| 彩妆功效,活肤
祛黄 ||| 彩妆功效,祛黄
去红血丝 ||| 彩妆功效,去红血丝
晒后修复 ||| 彩妆功效,晒后修复
舒缓肌肤 ||| 彩妆功效,舒缓肌肤
清洁毛孔 ||| 彩妆功效,清洁毛孔
平衡油脂 ||| 彩妆功效,平衡油脂
深层清洁 ||| 彩妆功效,深层清洁
损伤修复 ||| 彩妆功效,损伤修复
抗衰老 ||| 彩妆功效,抗衰老
持久 ||| 彩妆功效,持久
遮瑕 ||| 彩妆功效,遮瑕
防晒 ||| 彩妆功效,防晒
隔离 ||| 彩妆功效,隔离
化妆工具 ||| 彩妆功效,化妆工具
缩毛孔 ||| 彩妆功效,缩毛孔
去黑头 ||| 彩妆功效,去黑头
祛斑 ||| 彩妆功效,祛斑
修饰肤色 ||| 彩妆功效,修饰肤色
均码 ||| 规格,均码
红色 ||| 颜色,红色
粉色 ||| 颜色,粉色
橙色 ||| 颜色,橙色
黄色 ||| 颜色,黄色
绿色 ||| 颜色,绿色
青色 ||| 颜色,青色
蓝色 ||| 颜色,蓝色
紫色 ||| 颜色,紫色
灰色 ||| 颜色,灰色
黑色 ||| 颜色,黑色
白色 ||| 颜色,白色
棕色 ||| 颜色,棕色
褐色 ||| 颜色,褐色
咖色 ||| 颜色,咖色
驼色 ||| 颜色,驼色
杏色 ||| 颜色,杏色
米色 ||| 颜色,米色
裸色 ||| 颜色,裸色
炫色 ||| 颜色,炫色
银色 ||| 颜色,银色
花色 ||| 颜色,花色

































 


































 




